TICKETID,ISSUE,SUBJECT,URGENCYCODE,PROBLEM,SOLUTION
t6UJ9A00FV1A,,Suspense account,3,"Good morning

I'm not sure if this is something Datel can help with as I don't really know my way around the sage system when looking for original transactions.

I can see the amount in the suspense account, but not sure where to look for the original transaction.

Is this something you can guide me on please 

Thanks

Terrie","- 01/11/2024 15:46:56 (GMT )
Resolved internally"
t6UJ9A00FV0H,Cashbook,URGENT: Locked statement need unlocking for month end,3,"Urgent request for help please!
 
After my internet dropped out and I lost connection to the server (and Sage) I've managed to lock/block the statement for bank 80 as it saying it's currently in use, but no-one is in it.
 
Please could you unlock/unblock the statement for bank 80 in the Inspecs LIVE version of Sage?
 
I look forward to hearing from you soon.","- 01/11/2024 15:46:05 (GMT )
Lock cleared"
t6UJ9A00FTW1,EDI,OC11 EDI,3,"Hi,

Don't know if this is an issue for datel or cindercone support so apologies in advance,

User has reported:
Hi, Please see the attached screenshot of an EDI Batch that is stuck in Sage and won't send. Due to an error on OCA11.
Having spoke to Emma, we believe this is due to OCA11 is not sent via EDI, therefore on the Customer side they don't have an EDI set up, but it has been ticked in Sage to send via EDI when i shouldn't. I have since unticked the EDI box in Sage for OCA11, but the batch is still stuck. Is there a way I can remove OCA11 invoice: OP/I336085 from this batch, for the other invoices to send?
Also if I can remove the invoice from the EDI batch, will it still process onto Sage, or will the order need to be redone?
On the below, could you just delete the one line for OCA11 so we can still send the remainder of the batch? – As deleting the whole batch will affect the M&S and Tesco line too and they need to receive invoices via EDI.
 
If this is not possible to do, would Cindercone/Datel know how we resend the other lines via edi once the batch has been deleted?
 
Thank you.","I removed the order  from tables scheme.eoopinhdm and scheme.eoopindtm
(Tables were backed up beforehand to scheme.eoopinhdm22102024 and scheme.eoopindtm22102024)
This was repeated for a further two orders."
t6UJ9A00FV3X,,VAT /,3,"Hi there 


I have attached a copy of an invoice for one of our Indian customers and as you will see this is showing VAT. 

However, when I look at the  for this customer the VAT field is set at Z 

Is there a way you could have a look and see what has happened.  

If you need any more information from me, just ask. 

Thank you",Likely that customer wasn't set up as Z VAT initially and this was added after order was raised with VAT alreacy included
t6UJ9A00FV36,,Urgent: MUK - Refresh query issue,3,"I am trying to do the month end adjustments and only have today to do so. I have just gone to refresh the query on tab 'poresvdm' but it returns no information at all.
Usually my colleague does this task, the sheet should return all open PO's on sage, he is on holiday this week but another colleague has tested it for me and is having the same problem so I don't think it is isolated to my user.

Please can you advise why and how to correct it?

@Spencer, Matthew if this is something you can help with please let me know and I will raise a ticket.

Thanks,
Rachael","Generated data using the ""G/L "" program.
It appears a step was missed (Rachael stated a colleague wasn't in so its possible they might have forgotten to include the step) as I can see in the prior periods this was run by another user."
t6UJ9A00FUQR,,year end,3,"We are trying to run year end and the user is getting an error signal 22 1.

We have a procedure to close down the DLLhost.exe analysing the entry for SPLWOW64.exe and killing this.

Part of the procedure also suggests possible report definition corruption but cannot see this for option nl_year_end to remove and let the system recreate.

The text spool file generated is 14MB in size.  I do remember us having an issue a while back with regards to size of PDFs generated and a limit of size being set somewhere.  Can you advise where this is so we can check the size for this.

Also how we could resolve the issue if this is set high enough as we cannot 

Looking at the log file these are the last entries while trying the year end.","Mast detailed  was printed successfully on second attempt. No further action required in Mast.
Rebuild on nlaccm required for ."
t6UJ9A00FTTP,,,3,"I have just had some requests from our Financial auditors who are currently performing their tests.

1.	They have request a list of users with details of the access rights for each user
2.	They have requested proof of password complexity / age control
3.	They have requested details of each existing form set and the rights contained in each

I am not sure if anything currently exists in the system or if a reports needs to be created.","Connected with Simon on teams and was able to get into the user security report on the demo - so DA0355 was switched on there.
Ran report 
Discussed security groups
Password pollicy
Windows authentication
set up simon to have main_2 start menu instead of tetramenu so he can see all options"
t6UJ9A00FV3E,,RE:  1000,3,",

I cant find directory groups within SAGE 1000 system manager. Could someone finish off the licences renewal for us please?","licence applied expires 31/10/31
old one expired yesterday 21/10/24
users gone down from 20 to 1"
t6UJ9A00FV3G,,Customers,1,"Good morning,

We been asked how many customers we have, where will I find this on sage.","The are 24,670 customer records in MTS  company

If I run for  where  date_last_issue > '2023-12-31 00:00:00.000'   this brings back 2,194 rows"
t6UJ9A00FUYA,,user access,1,"has set up new user copying profile from existing user, but new user still has missing access, how can the access given be checked",needed additional Telesales setup.
t6UJ9A00FUW3,Inventory,Process issue,3,"Please see attached screenshot showing an error when trying to post a stock issue on ?
Can you review for me please?",system key STPERIOD set back to 10 from 11 for
t6UJ9A00FV15,Housekeeping/Monitor/Manage,clear down ref,1,"System log clear down by user and system wide - ref CCF agreed by  on 29/11/19 in relation to Monitor contract
Once a quarter - old one will be renamed system.logxxxxxx (date) and moved to G\sage\system\logs Nichols",Carried out the schedule housekeeping.
t6UJ9A00FV08,Housekeeping/Monitor/Manage,Monthly housekeeping tasks ref - COMPLETE FIRST WORKING DAY OF THE MONTH,1,"Monthly housekeeping tasks ref  and agreed CCF authorised by  29/11/19
- Spooler management maintenance by user and system wide - First working day of the month - leave 2 years of spool queue

- Schedule task to rename large debug.log files for sies running APIs and Fusion products.  3 servers VSD NID pi ns QMA ayarwm - DB Capture ogs (dbc files) Version one\tep folder on  - First working day of the month.

- Clear down V1 temporary folders (with agreed cu off dates).  These are on the  under versionone.  - First working day of the month - KEEP SIX MONTHS

- Clear down temporary tables in live directory - First working day of the month",Carried out the schedule housekeeping.
t6UJ9A00FV2W,Payroll,Payrollintegration sweep,3,"Has this stopped working again?
 

 
Adrian","Navigated to F:\csserver\PayrollIntegration\bin on the Sage server

Started PayrollIntegration.Console.exe
Click to start the service
Noticed in the Archive folder new log files were produced"
t6UJ9A00FUZO,,Help to roll a company forward,3,"Is it possible I can arrange a call to roll BFP SERVICES forward in SAGE 1000 with either myself of Nigel

I would like to do either this evening or first thing in the morning","Set NLYEAR=24 NLPERIOD=01 so the G/L is in period May 23. To allow G/L journals to be posted. Only the G/L is used in this company.
Ran rebuilds on nlacc and nlmast.   for FY23 - checked transactions posted in FY24 have updated balances correctly. 
SUggested setting ??_INSTAL system keys to NO so Sage doesn't insist on unneccessary period end in the subsiduary ledgers."
t6UJ9A00FV1N,,Currency EU to ST type 03,3,",

Please could someone kindly look at Currency EU to ST type 03, per the prompt below","Went through with Kully on  how to setup the exchange rates.
Kully went through and setup all 3 types of exchange rates, Spot, Period and Year."
t6UJ9A00FUW7,,Need to check dial in for  support,3,Need to check dial in for  support,Checked connection.
t6UJ9A00FV01,,:,3,"I am having an issue when completing my bulk despatch confirmation as it is coming up with n error message that the sales order can't be sent. 
 
Please see the below; Is this something you can help with? 

It is order no .",There was an incorrect allocation in the stallocm data table for this Sales order. Removed the rogue record to allow despatch to be done.
t6UJ9A00FUDS,MS,Daily checks ref,1,Daily checks ref,Daily checks completed. See attached report
t6UJ9A00FUAD,,Change to splash back,3,Logged by  - is there a way to change the splash screen when logging into Sage 1000 -To read either live or demo - they go live on Monday so it will help the users establish which company is which. Wayne can be contacted on his Mobile,"We have checked and can't find how Ensphere did this.
A colleague then spoke direct to Sage and after checking the only method they are aware of would be system colours and using the default Sage company function on the user record. Sage also advised the iframe doesn't refresh when changing the company from the drop down list."
t6UJ9A00FUDK,MS,,1,,Daily checks completed. See attached report
t6UJ9A00FV04,Inventory,arghhh stock end broken,3,"can you help, I'm just doing stock end, please can you let me know what this means","I believe a  program must have been locking stock.
As soon as this was terminated Denise was able to run"
t6UJ9A00FUFB,,staging service needs restarting see,3,"This occurred again this weekend if you want to check your debugging that you turned on in July

Firs time it's occurred since July","- 31/10/2024 15:51:27 (GMT )

Details of the Logs and advice attached to workaround the issue."
t6UJ9A00FUHO,,Views,3,"Hello, there seems to be an issue with some views written for us as part of some work done a couple of months ago – some PriceLIists are missing. Please see attached screenshots.
There are over 400  but only just over 100 PriceLIsts, whereas it needs to show the same number of PriceLIsts – over 400
Can you help please?
Kind regards,
Isaac","- 29/10/2024 15:46:42 (GMT )

This was down to their  bogging down SQL to 100% CPU.

I checked our Views of which are used within their queries and they are returning the correct Data, however they are no return a lot more since their Data was fixced, from around 100 to no 1900 records, I have mnentioned this and think that is why their query is hanging SQL and slowing Sage to a crawl.

 - 31/10/2024 15:49:41 (GMT )

I have advised on what to check in the  as our views are ok.

See attached."
t6UJ9A00FUYZ,,Sage -  -,1,"Please could you set-up a new  in TESGL  called ?

Please use existing Resource 'MOHAMMEH' as a template.

Many thanks,

David",Dial on setup TS user
t6UJ9A00FUY4,,Issue finalising credit note,3,"An end user has reported an issue about finalising a credit note.

This is what they put in the ticket:

using Sage but couldn't finalise credit note, error message popped up saying about back end communication

This is the error message that she's receiving, I don't recall seeing it before:",Corruption in SRD invoice/credit note definition
t6UJ9A00FUVH,,,3,Georgina in Finance is getting the below back-end error when raising a credit note. She's restarted Sage and tried again but is still getting the error. Do know what might cause this please?,Corruption in SRD invoice/credit note definition
t6UJ9A00FTMV,,sage licence,3,Datel to apply sage licence attached,Licence updated
t6UJ9A00FUV8,,where is data pulled from,1,where does order balance field is pulled from in accounts receivable enquiry master files customers - then in a customer on next page twice,Sage holds these values against the customer in slcustm. If the order balance is incorrect it can be corrected by running the  option in SOP housekeeping.
t6UJ9A00FUW5,MTD Query,MTD report,3,when user runs MTD report has 500 intenal error,"The 32 bit and 64 bit version of jscript.dll had become unregistered.
I re-registered both dll files, restarted the application pool ""ASP.NET v4.0 Sage1000 AppPool"" and ensured SRD was stopped in .
I then tested to ensure this was now working."
t6UJ9A00FUG2,,Audit data,1,"Hi,

Can you assist in helping me gather information for our auditors, I had a report years ago but I cannot remember how to recreate it.

Here are details of what I will need:

 

Many thanks,
Matt","I have enclosed a sheet with attached users which should be as per the SQL below.

Further to this below are the  in place at the moment – you seem to have 2 …
gb users use policy windows
fr users use  multisol"
t6UJ9A00FUUU,,Serials unallocated to order,3,"Sales order  is back to backed against PO  and the PO is fully booked in but the top line isn't fully allocated:

Please can you allocate the 4x 5QK03A

Serials - CZBBS9F028, CZBBS9H0DJ, CZBBS9D18R, CZBBS9F020",Broke B2B link and cleared incorrect allocation to allow a manual allocation and despatch
t6UJ9A00FSY1,Upgrade,against Windows 2025 and SQL 2022,3,against Windows 2025 and SQL 2022,"- 30/10/2024 16:13:39 (GMT )

 and now testing

Sage is now tested and working on 2025."
t6UJ9A00FUTI,,-,3,",

Can you please set up  as a new timesheet resource in Sage? Please, use existing user MUDURAP as a template.

Kind regards,

Esther.",Create new resource in Contracting >  >  ( Resources).
t6UJ9A00FUSV,,RE: Customer records,3,"It appears that adding the recent first has changed some other details on the customer layout. 

Original layout – includes credit limit, order bal, YTD sales","amended  recent_first field to the sl open_item_enquiry forrmset gen3 with a initial value of N

Other issue was resolved by copying sl ; open_item_enquiry ; open_item_detail   form safe formset to gen3 as this has been modified"
t6UJ9A00FUQX,Printing,Invoice / print spooler spooling,3,",

We had a new user run the invoice job this morning, but they got the following error.  We use DBForms to create the PDF's and I found out that the user logged in with the wrong user - they have two users with different formsets.  I am sure that the error is referring to the DBForms side as the invoices were created in the ledgers and look ok.

However, in the spool file I see the  job is spooling status.  Can this be changed so we can reprint and entering the correct paper type in?

User:  amy","- 30/10/2024 13:42:43 (GMT )

I have advised after looking at the system to reprint the Batch as the  OPREPRINV is set to Y

They have done this on the correct user and the PDF and Email have been created."
t6UJ9A00FUN6,,,3,",

We have a user who needs access to the transaction  by Dept function which is currently unavailable in the form set she is configured to use, please could you help to understand how to perhaps create a copy of her form set and modify it so that it includes the function she needsassuming that is the correct solution of course?

 

The user is  (login name sz12071) and her current form set is ENSC. An example user who has the function she requires is  (login name mef) and her form set is ENMS.

Many thanks and best regards,
Dave","Created new formset ENLF and added option for user
copied over forms from ENSC to ENLF formset and changed formset on users profile"
t6UJ9A00FULQ,,,3,"Morning,
 
There has been a mistake while creating/sending out Preston EU Invoices from 20/10/2024.  was not entered, and the invoices have not been printed/sent.
 
Could you please tell me what we need to do to correct this and get the invoices out?","Connected and identified jobs on spool queue that were at waiting status so amended to deferred in order for Kira to check and also jobs from 23/10
Kira advised that they are now resolved"
t6UJ9A00FULC,,Phocas:  H/JIG/C,3,"We have a net pricing issue on one particular product 'H/JIG/C' on special price list 70.

If you use 'TS' warehouse no SP appears on discount field but '**' warehouse all ok and uses the SP70 – we have tried other products on SP70 and this does not occur?",Connected to site and identified that the  on warehouse TS is the same as the Special price list so system is not seeing it as a special price so does not input SP in the discount box.
t6UJ9A00FUGP,,Report showing stock wrong (report writer),3,"Please can you help, a report is showing stock amount wrong","- 28/10/2024 15:00:09 (GMT )

Found that the Report was looking at the wrong figures in the Stquem table, therefore returning the wrong orders.

I have changed this and Denise is now testing."
t6UJ9A00FUI0,,Tracking an alteration of a route,3,"I have made an alteration to a route but a record of an alteration is not made in mine or the system log files.

We do not have auditing turned on for the table so I know there will be nothing in here either.

I am just wondering if an alteration to a route would be recorded anywhere else other than here.",checked logs and advised on this.
t6UJ9A00FUO1,,for,3,"(CC'd) is experiencing issues with Sage. Attached below are screenshots for your reference. Could you please treat this as urgent? A quick resolution would be greatly appreciated, as it may impact business operations.

Thank you for your understanding.","- 29/10/2024 15:48:36 (GMT )

I have checked the server and all is running fine with no stuck processes or dead applaunchers.

They have emailed to say all is now working."
t6UJ9A00FUMN,,Sages order status 6,3,"Hi

We have a sage order at status 6 with a single line. The line itself has a required qty of 2400 and allocated qty of 0.

However, the line is status D. Can we remove the line status of this line to B and move the order itself back to 4 via SQL.

Thanks,","checked and ok to amend

They will change the status in opheadm from 6 to 4    and the order_line_status in opfetm from D to B   for the order in question."
t6UJ9A00FUMH,,user request -,1,",

Please could you create a new Sage user called ? Please use existing user '' as a template.

Many thanks,

David",New TIMESHEET resource GIBBSS now setup.
t6UJ9A00FUKW,,Supplier 181,3,"We came over a supplier number 181 and they are set up for manual payment but are not picked up on the payment run.

Would you be able to check why/ We have an invoice below which was due for 20/09/24 and was not picked up on payment run 08/10/24","Connected and was able to generate a payment list for supplier 181 okay.
Anna to get back if still having problem"
t6UJ9A00FUOA,,Unable to access Sage,3,"Hi

I'm getting the error message below when I try to open Sage.  Can you please advise what the issue could be?",all ok now
t6UJ9A00FULD,,,1,"Please can you create a new user account with the same permissions as 

Name: : 
AD: frybenaissa


Many thanks,
Matt",All done now – user is frybenai
t6UJ9A00FUNI,,LOCKED BATCH,3,Can you please clear SI9141,Connected and cleared sl.exe process
t6UJ9A00FUIR,,,3,For our whole house business the current way we process sales orders through Sage doesn't match the business process. A whole house job can have several orders attached to it for different items which will be delivered on different dates.  is there a way of having a parent order with one or more child orders linked?,Discussed use of back orders for this process and also advised on SO module although this is not scheduled orders as such for the same product.  Sam advised that they will develop a bespoke order system to create multiple linked orders that interfaces to Sage as individual orders
t6UJ9A00FUN1,,Stuck in an order in Sage,3,"Hi

I appear to be stuck in an order in Sage, I think the SO is 

Could you please force me off?",killed hung session
t6UJ9A00FUID,,,3,"Hello

Can I please be provided with the attached for the year 01/01/2024 – 30/09/2024 inclusive please?

Many thanks,

Nicola","select 'zenplc' company, nlyear, trans_period, post_date, posting_code,replace(m.description,',',' ') account_desc , origin, journal_number, replace(journal_desc,',',' ') journal_description, round(journal_amount,2) journal_amount, t.currency_code, 
              round(currency_amount,2) currency_amount, round(exchange_rate,6) exchange_rate, multidiv
from scheme.nltranm t with (nolock)
inner join scheme.nlmastm m with (nolock) on t.posting_code = m.nominal_code
where nlyear = '24

same for database  marbhsa  and stjins

save in C:\datel folder as .csv file

'"
t6UJ9A00FUGE,,New user - Barbara,3,"We have a new user Barbara.Pankasz – can you provide a password?

Also, she will need access to AP (including posting of invoices and cash), AR (including allocation and posting of cash) and GL (including posting of journals) – I believe  used to have this access if that helps?","New user created and copied from vickyh profile, POP user also created"
t6UJ9A00FUA4,,on Sage,3,"Hi,

When allocating the cash received for invoice I067752 on Sage, the foreign currency is showing as ****** when it should be 3,263.13 NZD (see attached).

Is this due to the decimal places and can you advise how we can resolve this?

Thanks,

Jack",currency record ammended to resolve the forms issue
t6UJ9A00FUHB,Printing,printer que,3,"We are having memory issues again, I have checked the Printer que and dll and both seem fine. 

Please can you look into it.",I found a dllhost.exe using 1.5gb and apparently not attached to the to a  a print process and dllhost and SRD began working again.
t6UJ9A00FUIB,Inventory,DN  - T8EK SKU stock imbalance,3,"Hello,

May you take a look at the below please. A DN is trying to be printed but coming up with an error that the product wh ** sku T8EK does not have enough stock to allocate.

There were 7 earlier so unsure if a stock re-calc has to be done. Can you investigate please.

,",",

It would appear that you have 44 on hand, 47 allocated to sales orders and 23 allocated to works orders (70) in total following the stock re-calc update"
t6UJ9A00FUIT,Inventory,"Please could I get todays and tomorrows password for stock recalc,",1,"Please could I get todays and tomorrows password for stock recalc,","- 28/10/2024 15:47:31 (GMT )
 stock codes requested are:-
28	BOLWLZXH
29	APLWLZXH"
t6UJ9A00FUHP,,Sales order statuses,3,",

Where can I find out what the status values mean on a record – for example, the status column on scheme.opheadm – is there a decode/lookup/similar table?

Best regards,
Alastair","The opheadm statuses are defined as follows:

(Status 1)  
(Status 2)  
(Status 3) / 
(Status 4)  
(Status 5)  (Held/) 
(Status 6)  () 
(Status 7)  
(Status 8)  
(Status 9)"
t6UJ9A00FU4O,,export_indicator field,3,"Hello, We have a field called export_indicator and we would like to bulk update this field by adding the capital letter 'Y' to any accounts that have been invoiced in the last 12 months.

Can you assist with this please?
Kind regards,
Isaac",Updated the export indicator field as requested on customers which had an invoice in the past 366 days ( so 366 compared to 365).
t6UJ9A00FU4U,,,3,"I have stuck orders please can you move the below on so I can Invoice?

 DNI11 23/10/2024 23/10/2024
SP101713 D5WPC01 08/10/2024 08/10/2024
SP101741 DNI05 21/10/2024 21/10/2024
SP101742 DBN02 23/10/2024 23/10/2024
SP101743 DNI05 23/10/2024 23/10/2024",The 5 orders were corrected as part of reference
t6UJ9A00FUG4,,,3,"Morning all,

The below orders are stuck I am unable to invoice?

 DNI11 23/10/2024 23/10/2024
SP101750 DSR01 24/10/2024 24/10/2024
SP101755 DNI11 28/10/2024 28/10/2024
SP101713 D5WPC01 08/10/2024 08/10/2024
SP101741 DNI05 21/10/2024 21/10/2024
SP101742 DBN02 23/10/2024 23/10/2024
SP101743 DNI05 23/10/2024 23/10/2024


Best regards,",The orders have had their status amended from K (Sage showed invalid status) to status 6 ()
t6UJ9A00FSCN,,license,3,Please could the license be provided for this new install?,supplied from Sage
t6UJ9A00FUGM,TCR,,3,"The drill downs in stock enquiry are showing as empty, please would you take a look for us?",Paul had already restarted the  once the call was logged.
t6UJ9A00FUGU,,,3,",

I think somebody is stuck in PO or sales order in .
My reports are frozen.

Can you please check.

Thanks",clear locking process
t6UJ9A00FUFH,,Invoice run error,3,"Trying to run the invoice run this morning and this message comes up.  Any ideas why this is happening?

Failed to write extension record to slitemg.m, KEY THET042 OP/I408712","The invoice run completed with no further errors
 records in scheme.slitemgm had some orphan records which didn't exist in scheme.slitemm.
As the invoice customer has had the exact same invoice number before in 2004, Sage attempted to write the record to scheme.slitemgm and due to the primary key requirement on the table this, errored as the database did not permit writing a duplicate key.

Just in case removed records from scheme.slitemgm (Table backed up with todays date) where the item_no didn't exist in scheme.slitemm to avoid."
t6UJ9A00FUA0,,,3,"Someone in our credit control department has raised an issue where Sage has generated the same invoice number for 2 transactions.

Number is I067554, can you please investigate and confirm why.",Sage will allow the invoice number to be manually entered in Contracting and if this invoice doesn't exist for this customer Sage will allow it. This can lead to duplicate invoice numbers on different accounts. Recommended raising a credit note for 1 of the duplicates ans re-invoicing with a new number.
t6UJ9A00FU7B,,,3,"I am looking to run a report from Sage that lists:
	supplier invoices, invoice date, due dates and paid dates for a 12-month period.

Please could you provide any help on how this could be run.

Looking forward to hearing from you at your earliest convenience.","report will provide the data you need.

The other option would be to ask Alastair (or another colleague) to extract the data into Excel using the SQL below. It may need refining but it provides the basic structure.

select  i.supplier, s.name, i.item, i.our_reference, i.refernce, i.dated, i.due_date,i.local_amount, x.batch_item_no, x.allocated_date, x.allocated_amount 
from scheme.plitemm i with (nolock) 
inner join scheme.plsuppm s with (nolock) on i.supplier=s.supplier
inner join scheme.plxrefm x with (nolock) on i.supplier=x.customer and i.item= x.transaction_item
where i.open_indicator = 'C'"
t6UJ9A00FTV8,,Burgess F6 website notional stock & invoicing,3,"Following on from previous work I have a couple of items for you

To recap we work with one of our customers to supply direct to end user customers via our website.  The customer (BLAC01 Blackcat in our sales ledger) sends direct to end user customer out of their stock which they have already purchased from us.  We then need to credit them for this stock and account (invoice) for the higher value sale to end user.

We do this from a weekly activity report from our website.  As a rule, the invoice and credit will be issued Monday/Tuesday in week after the actual sales.  We need to date these in the week of activity.  For example, sales week Monday 7th Oct – Friday 11th Oct, invoice and credit physically issued say Tuesday 15th Oct but they must be dated Friday 11th Oct for reporting reasons.  This is actioned in our F6 warehouse using notional stock as the movements cancel out in volume

We can action this for the invoices by keying the details in sales order entry& invoicing > tasks- orders > sales invoice once all keyed we do not print directly in this function but make a note of the order number.  We then generate/print the invoice by Invoice  & credit print by limiting the run to the specific order number, in doing this we can redate the invoice and tick the hold box in the print function which retains the invoice so we can view the invoice again via the sales ledger transaction.   The method does not work for the credit we need to issue

1)	Credit note dating issue & hold tick 
a.	We create the credit in sales credits
b.	Generate / print via Invoice & Credit print , redate to the previous Friday.
c.	On printing we do not have the option to tick hold 
d.	The credit note printed is a white copy and not our normal paperless format
e.	As we have not ticked hold we cannot view the credit note via the sales ledger transactions.

Can you look into 
	Amending so the credit prints can tick hold
	The view function to be available via transactions

2)	The initial notional stock was set up by Datel, I believe via the stock take function movement reference C97443
a.	We have new stock to action in this process.
b.	I have added stock via sundry stock adjustment 
i.	Movement reference number C98135
c.	This stock is not available as free stock as part the invoice / credit actions above

Can you 
	Check the C98135 as why it is not available
	Show us how to use the stock take function to load notional stock assuming this a better method (as you used it)

Thank you in advance

Regards",Amended credit note print from pdf to Legacy. Set inspection_cycle to 0 for all products in F6. Advised to use stock take card C97443 to top up physical stock levels in warehouse F6 as required
t6UJ9A00FUC6,,Fw: Axil -,3,"Hello, 

We are trying to setup a new GL category that can be used solely for waste collection rebates from possibly a handful of suppliers. 

 

Please can you advise how we can create a new GL category or can we set up a quick call to run through the process? 

Thanks",Help to add new GL categories in layout manager formset mast and create new Cost of Sales code mappting for GEN  REC
t6UJ9A00FUCP,,,3,"I have had problems with Sage and now struggling to get back on. Below message received when I try to log on. Please advise.

Thanks

Helen",now resolved.
t6UJ9A00FUBN,,AP month end,3,"I have been running the month end payments and got as far as Generate payments, generate batch number, delete old BACS send file and submitted.  Then on progressing further with the payments file – I notice I have one too many invoices on that list – so am now stuck as I need to delete it.",Advised to recreate payment list 80 and ensure that pended items are selected. The list needs to be amended and then the payments generated. The BACS file is overwritten each time a new cash batch is generated so the latest transactions will be shown
t6UJ9A00FUCK,MTD Query,MTD,3,cannot update MTD as currently submit needs help with this,Jonathan had managed to update the Sage MTD using run as administrator.
t6UJ9A00FU2R,Printing,Reprinting PO#s,1,"Hi 

I have an issue when I'm trying to print PO's or invoices. 

When I have just raised a PO or Invoice it works fine (I use dbself) and it is emailed to me as normal. 

However if I need to go back and re-print the PO or invoice it wont work anymore.

It was previously working when I did this – I'd go in to the PO or Invoice, on Sage, that I was trying to reprint and use 'dbself' and it would email them to me but this has suddenly stopped working.

To clarify – when I initially raise one (and as long as I don't go out of the relevant screens) it works ok. Its just when I have to go out of sage and back in again  (for what ever reason), or if one requires re-printing. 

Many thanks,
Paul","Yes, David is correct.

Go into PO Entry – return through to the detail lines then press Escape -and THEN press F10 print."
t6UJ9A00FUAX,Cashbook,details are set up Project NEW15-/smn,3,Please contact  to discuss banking account setup ready for go live on Monday - please phone him,Stepped though entering the opening balances in the live  module. Explained that the figures entered here need to be reflected in the opening balance journal for the  when it's posted.
t6UJ9A00FU9P,Cashbook,Bank reconciliation correction,3,"I have posted two incorrect amounts to two foreign payments in the bank, therefore my bank won't reconcile.

I need to remove these two transactions, so the invoices show in the ledger as unpaid, so I can input them at the correct amount.","Licenced DA0800 and added option to menu. Reopened items, posted reversing receipt and re-entered payment."
t6UJ9A00FU9N,EDI,Can't  EDI Reports (),3,"logged by  <.uk>

Morning 

Got reports of user at Burgess unable to open Sage EDI Reports and when they attempt to it crashes and return them to the  in Sage 

Can you please have a look into this 

Please reach out to  on  for further information or testing at their end.",Issue resolved
t6UJ9A00FTM8,,sage licence,3,Datel to apply sage licence attached,"We have applied the new license and ensured the new expiry date is the end of next year.
The old license was backed up to F:\csserver\master\Licence2024.xml"
t6UJ9A00FU7V,,Customer records,3,"Hi,

On the PL, the transactions on their account shows newest to oldest – so when you are looking for something you can see it straight away. As usually you would be looking for something recent. 

On the SL it's the other way round so the oldest first. Most customers have been trading for years and there are hundreds of pages (thousands in some cases) which you have to go though to get the latest transactions. Even pressing  page can take ages as you are guessing how many pages there are. 

Is there a way this can be changed on SAGE so that it shows the current first for the sales ledger (customer transactions)?

 

PL:

 

.",Added recent_first field to the sl open_item_enquiry forrmset gen3 with a initial value of Y so that recent SL items show first.    This was aleady available for PL but not SL
t6UJ9A00FTK1,MS,Daily checks ref,1,Daily checks ref,Daily checks completed. See attached report
t6UJ9A00FTJV,MS,,1,,Daily checks completed. See attached report
t6UJ9A00FU4C,,,3,Datel to apply Sage licence attached,"- 24/10/2024 17:37:44 (GMT )
Licence sent"
t6UJ9A00FU8E,,Sage support,3,"Hi,

I need to work out where some data in Sage comes from – can you please either let me have our support contacts details, or could you please ask them which table the data is stored in to recreate the reserve account report – a copy is attached.

Thank you

Richard","This SQL will extract the current Reserve data 

select h.reserveh_key, h.date_created, date_posted, h.journal_number, h.journal_desc, h.journal_debit, h.journal_crebit, d.order_number, 
	d.supplier_no,s.name, d.wh_prod,st.description, d.gl_code,n.description, d.amount
from scheme.poresvdm d with (nolock)
inner join scheme.poresvhm h with (nolock) on left(d.reserve_key,9)= h.reserveh_key
inner join scheme.plsuppm s with (nolock) on d.supplier_no = s.supplier
inner join scheme.nlmastm n with (nolock) on d.gl_code=n.nominal_code
left outer join scheme.stockm st with (nolock) on d.wh_prod=st.warehouse+st.product
where h.reserveh_key like '%3%' 
order by d.supplier_no, d.reserve_key"
t6UJ9A00FU64,,exchange rate,3,"Posted cash on sage in euros, added the exchange rate but its posted incorrectly, needs help to reverse this

 UK Ltd.
Supplier =A0015874 Batch =PCA790 Euro -.75 but local = 0.00",Updated local amount to £.60 on the supplier transaction and advised to post G/L journal for missing transactions. CB all updated correctly.
t6UJ9A00FTLR,,sage licence,3,Datel to apply sage licence attached,1000 license to 31/12/2025 applied.
t6UJ9A00FU6N,Inventory,,3,"We have had a request about possible rewording of action buttons.

The buttons in question are when allocating stock against an order item for F4 -  and F8 SELECT BATCHES FOR <productcode>.

 

This appears in both Telesales and .  We mainly use Telesales but maybe occasionally .

Can these options buttons be altered easily with an entry of some sort either through configuration or direct in the database.  Also if they are able to be changed would changing them affect any other parts of the system.

Or are these static and cannot be altered requiring development then we would not progress it further.  

Thanks,","Advised to check within the Messages program.
I had attempted to locate the message on our test system but only came across an unrelated message."
t6UJ9A00FU55,,PO issue,3,"Donna is having an issue with PO booking in, the order is in the status ""held"" I have tried reopening it and it won't go off hold for myself. 

It is the 4th Line. 

 


PO :   

Donna has managed to book this line in using PO Print LarchLap but the order itself it still on ""held"" 


Please can you investigate and see why this got put on held. 

Thanks","order exceed a maximum value of .
Sage was told not to permit anything higher than  via system key POMAXVAL
POMAXVAL was set to  as authorised
I entered  and ensured this was taken off"
